"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U74120UP2013PTC059666","20-09-2013","ZEROPOINTSOMETHING CONSULTANCY SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","INCOME TAX COLONY FLAT NO. D-6 RADHEY APARTMENT, SWAROOP NAGAR KANPUR Uttar Pradesh INDIA 208002","Indian Non-Government Company"
"U74120UP2013PTC059672","20-09-2013","AVN MULTISERVICES INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","VILL- BADAYAHARDO, FULPUR P.O. KOTPUR, PIPARA, P.S. BARHAJ DEORIA Uttar Pradesh INDIA 274603","Indian Non-Government Company"
"U74120UP2013PTC059676","20-09-2013","ELYSIUM HOSPITALITY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H NO. 3/362 VISHWAS KHAND-3 GOMTINAGAR LUCKNOW Uttar Pradesh INDIA 226010","Indian Non-Government Company"
"U74120UP2013PTC059677","20-09-2013","SHREE GIRIRAJ INFRATOLL PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","150,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","10/487 , KHALASI LINE, KANPUR Uttar Pradesh INDIA 208001","Indian Non-Government Company"
"U74120UP2013PTC059685","23-09-2013","JAYANAND ENGINEERING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","Ali Ganj , Unchahar Raibareli Uttar Pradesh INDIA 229404","Indian Non-Government Company"
"U74120UP2013PTC059689","23-09-2013","DECENTSAFE SECURITY SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","10, SIGARPUR, KIRAWALI AGRA Uttar Pradesh INDIA 282001","Indian Non-Government Company"
"U74120UP2013PTC059692","23-09-2013","EXODIA INTERNATIONAL PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","111/155, Harsh Nagar Kanpur Uttar Pradesh INDIA 208005","Indian Non-Government Company"
"U74120UP2013PTC059695","23-09-2013","GDML ELEVATOR INDIA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","Plot No.2, Chhota Bharwara Near Viraj Khand Chinhat Lucknow Uttar Pradesh INDIA 227105","Indian Non-Government Company"
"U74120UP2013PTC059696","23-09-2013","MONZIA SECURITIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","429/6 SHASTRI NAGAR MEERUT Uttar Pradesh INDIA 250001","Indian Non-Government Company"
"U74120UP2013PTC059703","23-09-2013","BAHERI STONE INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","200,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","VILLAGE BHOUNA, TEHSIL- BAHERI BAREILLY Uttar Pradesh INDIA 243001","Indian Non-Government Company"
