"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U21093UR1995PTC017978","2-05-1995","HIMALAYA PUBLICATIONS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","5,000,000.00","3,410,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","59/4RAJPUR ROAD DEHRADUN UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U21093UR2006PTC032294","29-08-2006","GOLDEN PAPIER MACHE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","500,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NEW LINE RAM NAGAR RAMNAGAR Uttarakhand INDIA 244715","Indian Non-Government Company"
"U21095UR2008PTC032592","31-03-2008","BHATT EDUCATIONAL SCIENTIFIC AND TECHNOLOGICAL SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","432,200.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","JOHAR COMPLEX TILAK ROAD RISHIKESH Uttarakhand INDIA 249201","Indian Non-Government Company"
"U21098UR1992PTC014126","28-02-1992","EAGLE CARBONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","3,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","B-4,INDUSTRIAL AREA, VIKASNAGAR, DEHRADUN UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U21098UR2007PLC032416","29-05-2007","VISHWANATH PAPER & BOARDS LIMITED","ACTIVE","Public","Company Limited by Shares","32,500,000.00","32,030,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","RAMNAGAR ROAD KASHIPUR Uttarakhand INDIA 244713","Indian Non-Government Company"
"U21098UR2008PTC032568","13-02-2008","B.R. PAPERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","30,000,000.00","27,295,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","C/O SURENDRA HOUSE NO. 170, SHARMALUXMIPUR PATTI KASHIPUR Uttarakhand INDIA 244713","Indian Non-Government Company"
"U21098UR2009PTC032906","20-08-2009","PATANJALI CORRUPACK PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","7 A, SANDESH NAGAR KANKHAL HARIDWAR Uttarakhand INDIA 249408","Indian Non-Government Company"
"U21098UR2010PTC033085","4-03-2010","SHREE OM SAINATH MANUFACTURING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","315, Village Bhamraula, Kichha Road, Near Chandola College, RUDRAPUR Uttarakhand INDIA 263153","Indian Non-Government Company"
"U21098UR2010PTC033116","5-04-2010","DHILLON PAPER INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","100,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","VILLAGE- MUDIAANI POST - BAZPUR BAZPUR Uttarakhand INDIA 262401","Indian Non-Government Company"
"U21098UR2010PTC033161","13-05-2010","K.S. KAGAZ PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","451,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","7th KMS. MILESTONE, JASPUR, KASHIPUR ROAD, VILLAGE- HALDUA SAHU, P.O. SHIVRAJPUR, JASPUR Uttarakhand INDIA 244712","Indian Non-Government Company"
